기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액,총인구,총인구_남,총인구_여,내국인_세대수,내국인_총인구,내국인_남,내국인_여,등록외국인_총인구,등록외국인_남,등록외국인_여
2021,과천시,80대 이상,여,7148,13696.1499,75.0,180.4249,1.9161,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,광명시,10대,남,65198,176595.6765,301.0,2014.0011,2.7086,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,10대,여,67159,202666.2983,388.0,2713.3571,3.0177,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,20대,남,282340,468464.7536,2110.0,10330.5232,1.6592,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,20대,여,301842,560455.2813,2258.0,9210.9871,1.8568,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,30대,남,490074,1179518.4064,5010.0,41641.364,2.4068,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,30대,여,612977,1621063.4358,4747.0,30019.958,2.6446,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,40대,남,851289,2744455.7085,7441.0,61208.0577,3.2239,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,40대,여,1195721,3508050.9033,8426.0,48543.3541,2.9338,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,50대,남,599090,1387104.905,4166.0,27925.0365,2.3154,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,50대,여,639276,1294750.3185,4231.0,18999.744,2.0253,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,60대,남,286019,504107.663,2061.0,11188.0565,1.7625,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,60대,여,362033,675600.8301,2355.0,9252.6529,1.8661,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,70대,남,78219,138989.5727,440.0,1221.5871,1.7769,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,70대,여,100978,186730.354,628.0,2674.2591,1.8492,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,80대 이상,남,12968,23056.3965,75.0,245.1285,1.7779,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2023,광명시,80대 이상,여,14660,28259.0814,121.0,564.0013,1.9276,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,10대,남,64934,160834.2586,336.0,2084.61,2.4769,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,10대,여,63907,159147.4609,365.0,1539.0923,2.4903,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,20대,남,264748,424789.4698,1886.0,9082.4323,1.6045,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,20대,여,280971,528539.1496,2358.0,7964.7453,1.8811,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,30대,남,377841,990275.8821,4346.0,35853.8882,2.6209,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,30대,여,595298,1654521.3528,5086.0,33060.9738,2.7793,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,40대,남,752600,2562423.8383,6840.0,57734.7383,3.4048,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,40대,여,1200733,3630591.5243,9151.0,54487.2882,3.0236,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,50대,남,420386,1047396.6247,3011.0,19807.8587,2.4915,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,50대,여,525990,1096227.2736,3694.0,15885.3758,2.0841,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,60대,남,173493,310510.316,1216.0,7514.6231,1.7898,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
